function,10^3,10^4,10^5,10^6,10^7
test_csv_read,0.0021805671996844465,0.008297821000451223,0.07157435400076792,0.6688787694001803,6.624050747399451
test_json_read,0.0043049645995779425,0.015366954800265375,0.16426664999962667,2.5938727509987074,33.732824574601544
test_excel_read,0.03067139920021873,0.30574432960056586,2.998048942400055,31.22441135060071,31.043927450197224
test_hdf_fixed_read,0.0040095473988913,0.003873404600744834,0.004995200400298927,0.019284791201062034,0.12447043780121021
test_hdf_fixed_read_compress,0.0036907914000039455,0.003931776198442094,0.004002098399359966,0.010082515998510644,0.11750188019941561
test_hdf_table_read,0.005342723801004467,0.0051142296004400125,0.006076839799061417,0.014520616398658603,0.1629224489981425
test_hdf_table_read_compress,0.005374769800982904,0.005273115000454709,0.005845425600273302,0.023412823998660313,0.16788294400030282
test_feather_read,0.0007184270005382131,0.0007285388004675042,0.0010654592013452202,0.004434388803201727,0.05003644059906946
test_parquet_read,0.0015146412013564258,0.0018638532004843001,0.0037526377993344793,0.016412352200131864,0.12196763179963455
test_msgpack_read,0.0003452046003076248,0.00043600239951047115,0.001966685399384005,0.030499731600866654,0.5779971828000271
test_pickle_read,0.0005964639996818733,0.0006365364009980112,0.0011926145998586435,0.012250157199741808,0.22920448340009897
test_pickle_read_compress,0.0023622435990546366,0.018352990799758117,0.17124058079934912,1.782985850001569,16.958029893398635
test_csv_write,0.010226371400494826,0.04824947379966034,0.4806690567995247,4.955425228199601,48.008208370801
test_json_write,0.0008877592001226731,0.004879781400086358,0.045355028599442446,0.623161280399654,9.392450096002722
test_excel_write,0.05823426060014754,0.5440381988009904,5.4827952482010005,55.2683726751995,226.65766036980204
test_hdf_fixed_write,0.027897111200582005,0.0052086208001128394,0.015901219599618342,0.2748815730010392,2.3199847006020717
test_hdf_fixed_write_compress,0.004620798998803366,0.007107851000182563,0.016037983200658346,0.29482732699980263,2.418088769199676
test_hdf_table_write,0.00812787440008833,0.010297063399775652,0.029771826399519342,0.5779849469996406,5.279095376400801
test_hdf_table_write_compress,0.007492674201785121,0.00971287799984566,0.031710946199746105,0.5285640834001242,5.093449365202105
test_feather_write,0.0012117573998693843,0.0021106458007125184,0.009911513599945465,0.23417596139915986,1.7641200747981203
test_parquet_write,0.0016891785999177955,0.00396078519988805,0.03689495119906496,0.29828410379705017,2.068000912001298
test_msgpack_write,0.00032449139980599283,0.0012676566017034928,0.013057457000104477,0.24258394080097787,2.1208397355992927
test_pickle_write,0.0005513007992703934,0.0012663893990975338,0.009798887200304307,0.3624705357986386,2.0682094061994576
test_pickle_write_compress,0.008831565400032559,0.06133095839904854,0.7125705370002834,10.825161961599951,106.44326511160179
test.csv,0.078471,0.785181,7.852539,78.522492,785.244302
test.json,0.077138,0.811239,8.511341,89.112101,931.118289
test.xlsx,0.067578,0.625027,6.24939,62.745608,65.793416
test_fixed.hdf,0.04724,0.40724,4.00724,40.00724,400.00724
test_fixed_compress.hdf,0.04724,0.40724,4.00724,40.00724,400.00724
test_table.hdf,0.084434,0.481194,4.128711,40.44526,402.161502
test_table_compress.hdf,0.084434,0.481194,4.128711,40.44526,402.161502
test.feather,0.032384,0.320384,3.200384,32.000384,320.000384
test.parquet,0.038858,0.391991,4.052895,33.12032,321.150358
test.msgpack,0.032334,0.320336,3.20034,32.00034,320.00034
test.pkl,0.032693,0.320702,3.200706,32.000706,320.000706
test.pkl.compress,0.030852,0.302932,3.024568,30.023832,298.807792
